eng_name1,eng_UN,eng_name2,org,std,korean
KAZAKHSTAN,Kazakhstan,Republic of Kazakhstan,Kazakhstan ,카자흐스탄공화국,카자흐스탄
KENYA,Kenya,Republic of Kenya,Kenya ,케냐공화국,케냐
KIRIBATI,Kiribati,Republic of Kiribati,Kiribati ,키리바시공화국,키리바시
KOSOVO,Kosovo ,Republic of Kosovo,Kosovo ,코소보공화국 ,코소보
KUWAIT,Kuwait,State of Kuwait,Kuwait ,쿠웨이트국,쿠웨이트
KYRGYZSTAN,Kyrgyzstan,Kyrgyz Republic ,Kirgiz ,키르기즈공화국,키르기스
LAOS,Lao People's Dem. Rep.,Lao People's Democratic Republic,Laos ,라오인민민주공화국 ,라오스
LATVIA,Latvia,Republic of Latvia,Latvia ,라트비아공화국,라트비아
LEBANON,Lebanon,Republic of Lebanon,Lebanon ,레바논공화국,레바논
LESOTHO,Lesotho,Kingdom of Lesotho,Lesotho ,레소토왕국,레소토
LIBERIA,Liberia,Republic of Liberia,Liberia ,라이베리아공화국 ,라이베리아
LIBYA,Libya,Libya ,Libya,리비아,리비아
LIECHTENSTEIN,Liechtenstein ,Principality of Liechtenstein,Liechtenstein ,리히텐슈타인공국 ,리히텐슈타인
LITHUANIA,Lithuania,Republic of Lithuania,Lithuania ,리투아니아공화국,리투아니아
LUXEMBOURG,Luxembourg,Grand Duchy of Luxembourg,Luxemburg ,룩셈부르크대공국,룩셈부르크
MACEDONIA,Macedonia,Republic of Macedonia,Macedonia,마케도니아,마케도니아
MADAGASCAR ,Madagascar ,Republic of Madagascar  ,Madagascar ,마다가스카르공화국,마다가스카르
MALAWI,Malawi,Republic of Malawi,Malawi ,말라위공화국 ,말라위
MALAYSIA,Malaysia,Malaysia,Malaysia,말레이시아,말레이시아
MALDIVES,Maldives,Republic of Maldives,Maldives ,몰디브공화국,몰디브
MALI,Mali,Republic of Mali ,Mali ,말리공화국,말리
MALTA,Malta,Republic of Malta,Malta ,몰타공화국,몰타
MARSHALL ISLANDS,Marshall Isds,Republic of the Marshall Islands,Marshall諸島 ,마셜제도공화국,마셜 제도
MAURITANIA,Mauritania,Islamic Republic of Mauritania,Mauritanie ,모리타니아이슬람공화국,모리타니
MAURITIUS,Mauritius,Republic of Mauritius,Mauritius ,모리셔스공화국,모리셔스
MEXICO,Mexico,United Mexican States,Mexico ,멕시코합중국,멕시코
MICRONESIA,Micronesia ,Federated States of Micronesia,Micronesia ,마이크로네시아연방국 ,미크로네시아
MOLDOVA,Rep. of Moldova,Republic of Moldova,Moldova ,몰도바공화국 ,몰도바
MONACO,Monaco ,Principality of Monaco,Monaco ,모나코공국,모나코
MONGOLIA,Mongolia,Mongolia,←Mongolia ,몽골,몽골
MONTENEGRO ,Montenegro,Montenegro ,Montenegro,몬테네그로,몬테네그로
MOROCCO,Morocco,Kingdom of Morocco,Morocco ,모로코왕국,모로코
MOZAMBIQUE ,Mozambique,Republic of Mozambique ,Mozambique ,모잠비크공화국,모잠비크
MYANMAR ,Myanmar,Republic of the Union of Myanmar,Myanmar ,미얀마연방공화국,미얀마
NAMIBIA,Namibia,Republic of Namibia,Namibia ,나미비아공화국,나미비아
NAURU,Nauru,Republic of Nauru,Nauru ,나우루공화국,나우루
